hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
1,0,-64.4116,-7.16412,-1502.5,250710,-149908,-956385,0
3,0,-83.828,-1.14558,-1502.5,626295,-169767,-760877,0
12,0,-42.6177,-10.6661,-1502.5,-270443,83056.7,-959147,0
31,0,-152.171,-23.8064,-1498,339705,-13076.4,-940441,0
49,0,-108.177,-20.438,-1502,-484376,-559731,-672370,0
81,0,-122.229,-39.9046,-1498,-348771,134342,-927529,0
96,0,-120.169,-46.1821,-1502,510661,171042,-842597,0
112,0,-60.0871,-45.6593,-1497.5,-551643,-197642,-810325,0
120,0,-36.3521,-13.1157,-1497.5,-554127,95545.4,-826931,0
137,0,-131.354,-98.5764,-1502,153028,246426,-957004,0
175,0,-130.567,-104.772,-1498,-320269,-414379,-851891,0
176,0,-120.537,-103.498,-1498,244602,337208,-909099,0
202,0,-82.2043,-71.6106,-1502,6184.98,211055,-977455,0
208,0,-113.661,-112.872,-1502,51902.4,60604.5,-996812,0
210,0,-93.9617,-82.8053,-1502,-133462,-303094,-943569,0
230,0,-93.6717,-143.179,-1502,-146693,-701260,-697650,0
232,0,-85.5855,-126.194,-1502,-428601,-541038,-723588,0
237,0,-52.5797,-92.996,-1498,-419442,-465161,-779547,0
242,0,-72.2399,-134.216,-1498,-155860,-88625.9,-983795,0
244,0,-76.672,-133.256,-1498,-73924.9,-184854,-979982,0
254,0,-26.033,-71.2556,-1497.5,110021,657988,-744948,0
307,0,-37.353,-131.164,-1502,6225.6,-268014,-963395,0
310,0,-7.82944,-69.693,-1498,79926.7,-303504,-949472,0
312,0,-2.6604,-64.9595,-1498,105215,-189000,-976324,0
336,0,-14.8269,-118.398,-1498,-194154,337377,-921130,0
346,0,-5.64229,-106.652,-1502,-21907.1,-736213,-676395,0
377,0,2.16769,-116.852,-1498,84040.1,-95641,-991862,0
390,0,23.7823,-123.801,-1502,-120746,127465,-984466,0
393,0,17.9967,-163.42,-1502,130968,-512321,-848749,0
395,0,16.8783,-85.1945,-1497.5,279538,-511980,-812241,0
406,0,10.7367,-65.3754,-1497.5,-174575,328211,-928332,0
418,0,36.6936,-134.541,-1498,-237832,-527961,-815287,0
419,0,22.811,-126.734,-1498,2765.12,-657768,-753216,0
420,0,33.816,-125.907,-1498,-56130.1,173671,-983203,0
457,0,42.1702,-103.119,-1502,-345967,191792,-918435,0
461,0,44.0473,-101.323,-1498,60727,-221782,-973203,0
463,0,65.1297,-136.757,-1498,269331,-268515,-924857,0
474,0,39.1072,-74.369,-1498,489386,-439839,-753022,0
521,0,22.1408,-34.0966,-1502,-242208,141232,-959890,0
534,0,88.9466,-118.752,-1502,-104329,561287,-821019,0
538,0,87.6408,-83.6018,-1498,15161.5,-6196.87,-999866,0
558,0,48.1844,-51.5182,-1497.5,664666,-284400,-690895,0
563,0,99.2127,-83.0308,-1502,381720,-7372.06,-924249,0
565,0,125.037,-99.1925,-1502,-29143.7,7980.72,-999543,0
594,0,95.997,-59.0169,-1498,-65166.3,47897.7,-996724,0
603,0,95.2482,-49.9856,-1502,-67535.6,28370.3,-997313,0
615,0,80.2362,-38.6976,-1498,-202090,39327.5,-978577,0
625,0,123.08,-55.1036,-1498,190251,-170030,-966899,0
656,0,156.123,-37.3993,-1498,744414,45416.9,-666172,0
677,0,71.1301,-2.76548,-1497.5,-519348,129182,-844742,0
683,0,152.733,-23.2545,-1502,475591,-118659,-871627,0
691,0,107.649,-22.7809,-1502,-180728,159495,-970515,0
707,0,82.5772,6.42805,-1502.5,-660760,-43766.3,-749320,0
736,0,117.891,20.6585,-1498,146178,87895,-985346,0
763,0,101.142,32.1865,-1502,-205994,-185135,-960881,0
779,0,71.0804,23.4071,-1502,65678.6,26716.5,-997483,0
790,0,102.009,27.2157,-1498,-500324,-13047.8,-865740,0
813,0,71.0724,40.9374,-1497.5,-228811,-167140,-959015,0
823,0,56.0583,31.181,-1497.5,120157,111592,-986463,0
831,0,125.422,60.7225,-1498,-41720,-25081.4,-998814,0
848,0,120.329,75.3122,-1502,276029,91346.6,-956799,0
881,0,118.657,109.351,-1498,-205736,-71950,-975959,0
882,0,101.884,75.9997,-1498,530302,142273,-835786,0
884,0,112.82,88.0777,-1498,617602,107428,-779119,0
893,0,29.3916,29.816,-1498,-328838,-211898,-920307,0
897,0,45.5844,42.9903,-1498,326858,660018,-676417,0
941,0,39.6689,55.2257,-1502,-186737,-480603,-856825,0
948,0,85.4353,125.124,-1502,329354,90333.8,-939876,0
951,0,66.1183,104.903,-1502,-535788,-289786,-793067,0
958,0,97.5649,138.719,-1502,213904,118689,-969617,0
966,0,57.7421,93.7891,-1498,422780,600658,-678577,0
989,0,66.7482,155.28,-1502,-1992.02,-386069,-922468,0
992,0,55.8636,131.03,-1502,-116427,-264777,-957255,0
995,0,66.353,144.849,-1502,-128082,471392,-872574,0
996,0,59.4194,153.466,-1498,-248235,-405902,-879558,0
1001,0,50.3318,141.268,-1498,122747,244635,-961814,0
1055,0,12.5542,132.314,-1498,-102684,-148752,-983529,0
1060,0,13.5364,143.082,-1502,-292501,-496316,-817382,0
1100,0,-8.41897,152.007,-1498,-29603.7,665221,-746060,0
1110,0,-23.614,142.493,-1502,3118.83,4145.56,-999987,0
1116,0,-16.2583,62.9711,-1497.5,65338.6,-202511,-977098,0
1119,0,-17.6249,65.2571,-1497.5,-93738.6,-416491,-904294,0
1123,0,-25.17,97.3285,-1497.5,-1458.05,11839.7,-999929,0
1167,0,-24.9077,81.9589,-1502.5,233141,-100652,-967220,0
1171,0,-41.0426,99.9354,-1502,220087,-513461,-829409,0
1176,0,-53.7241,156.734,-1502,-181062,351974,-918331,0
1177,0,-47.2342,165.545,-1502,-1672.64,65752.1,-997835,0
1181,0,-33.2027,117.892,-1502,-214982,-572656,-791105,0
1185,0,-57.4927,161.393,-1502,-146905,537109,-830622,0
1189,0,-67.3347,153.987,-1498,-47894.8,89600.5,-994826,0
1231,0,-70.0354,120.094,-1502,-265345,684826,-678680,0
1245,0,-69.2312,74.1924,-1502,235299,-365735,-900484,0
1248,0,-48.8494,49.8602,-1502,652640,-111918,-749356,0
1292,0,-87.0108,86.8672,-1498,64088,-90726.6,-993812,0
1296,0,-34.7519,27.5665,-1497.5,-287060,160111,-944437,0
1312,0,-67.682,47.4445,-1497.5,47518,-35975.1,-998222,0
1351,0,-115.374,78.613,-1498,-687591,-34385.4,-725284,0
1354,0,-149.212,75.944,-1502,-33523.5,1363.58,-999437,0
1355,0,-149.875,90.6065,-1502,126469,-303388,-944437,0
1361,0,-102.263,55.7384,-1502,333184,-225486,-915502,0
1367,0,-45.6482,15.0052,-1498,-394527,-99906.1,-913437,0
1376,0,-146.021,66.0219,-1498,-445231,472221,-760774,0
1381,0,-126.889,48.9657,-1498,-225041,-43839.8,-973362,0
1387,0,-131.22,51.5234,-1502,-74015.6,103083,-991915,0
1416,0,-128.628,22.3002,-1498,-310758,-182363,-932831,0
1430,0,-60.1911,-2.46027,-1497.5,-494754,-129176,-859379,0
1439,0,-107.087,15.135,-1502,-335064,-216509,-916982,0
1447,0,-164.217,6.29843,-1498,-52043.4,54544.5,-997154,0
1451,0,-92.3761,-6.86768,-1302.5,-171180,13905,-985142,0
1469,0,-81.4284,-2.50281,-1302.5,-553953,363478,-749013,0
1517,0,-149.487,-29.0371,-1302,-594795,354222,-721627,0
1539,0,-62.2466,-27.1519,-1302,-316230,107056,-942623,0
1554,0,-157.972,-45.1102,-1298,-13682.8,-16529,-999770,0
1560,0,-147.117,-52.9952,-1298,160574,239048,-957639,0
1561,0,-158.392,-47.03,-1298,-467475,115891,-876377,0
1565,0,-134.118,-64.1177,-1302,-628524,190063,-754211,0
1592,0,-34.2605,-18.4181,-1297.5,-396911,-511372,-762208,0
1593,0,-67.905,-43.0121,-1297.5,423815,-22202.7,-905477,0
1602,0,-82.8476,-42.7001,-1297.5,-177011,-647760,-740996,0
1619,0,-102.042,-62.8523,-1302,-170844,-309757,-935341,0
1622,0,-83.0004,-66.5033,-1302,-483773,-309639,-818589,0
1623,0,-88.3136,-64.7746,-1302,-589923,-108758,-800102,0
1638,0,-30.7914,-15.7628,-1302.5,-310327,-147088,-939182,0
1683,0,-51.146,-49.5682,-1298,-230384,-103914,-967536,0
1696,0,-77.3745,-79.5162,-1302,270949,448791,-851571,0
1699,0,-104.771,-110.414,-1302,-91262.2,-583604,-806894,0
1738,0,-83.6322,-149.973,-1298,28938.9,-116714,-992744,0
1785,0,-42.0839,-115.376,-1298,-271802,-250611,-929149,0
1787,0,-29.5226,-103.027,-1298,59794.8,-530918,-845311,0
1788,0,-59.2172,-164.281,-1298,-217852,574595,-788911,0
1800,0,-15.2656,-88.7135,-1302.5,261918,-556859,-788230,0
1861,0,-1.75311,-55.9371,-1298,-24158.1,-719110,-694476,0
1878,0,-15.9634,-174.61,-1302,-283751,457421,-842764,0
1880,0,-9.6252,-129.338,-1302,208728,-275867,-938259,0
1886,0,-8.34025,-109.581,-1302,35801,164027,-985806,0
1900,0,6.80362,-92.3044,-1302,-32110.3,-57040.6,-997855,0
1904,0,-3.34661,-59.0366,-1302,91512.4,338087,-936655,0
1914,0,0.582785,-164.589,-1298,515050,-573961,-636626,0
1961,0,3.23459,-46.8883,-1297.5,-156739,228079,-960944,0
1973,0,20.4611,-112.027,-1298,478.36,-8541.23,-999963,0
1974,0,31.5254,-168.74,-1298,490967,-458060,-741035,0
2000,0,27.9579,-54.3647,-1302.5,522919,-328023,-786738,0
2002,0,61.4314,-160.749,-1302,200801,405801,-891630,0
2008,0,41.6097,-113.429,-1302,282450,-709696,-645410,0
2009,0,39.4648,-119.258,-1302,214465,-578432,-787033,0
2013,0,34.569,-111.503,-1302,5494.78,-112159,-993675,0
2047,0,23.9792,-26.4269,-1298,552647,-243542,-797037,0
2052,0,80.3265,-146.708,-1302,-128867,117461,-984681,0
2057,0,85.3769,-148.128,-1302,414821,-177150,-892492,0
2115,0,87.7963,-94.8544,-1298,-84382.7,33710.8,-995863,0
2118,0,95.0222,-86.9127,-1298,98.7192,-18109.5,-999836,0
2135,0,49.4754,-46.5098,-1297.5,79360,-520729,-850025,0
2145,0,94.6391,-82.2927,-1302,57186.4,1611.27,-998362,0
2156,0,102.91,-87.5607,-1302,-253239,137450,-957589,0
2158,0,113.854,-98.0548,-1302,475152,-414259,-776286,0
2167,0,26.8606,-14.8522,-1302.5,-639026,196842,-743572,0
2202,0,139.864,-82.1616,-1302,-262121,465799,-845177,0
2210,0,73.9885,-32.1124,-1298,417466,56175.7,-906955,0
2241,0,93.09,-28.3857,-1302,543781,-324267,-774050,0
2245,0,94.9011,-18.7396,-1302,-521384,-16716.2,-853159,0
2267,0,161.375,-39.4868,-1298,743133,175292,-645775,0
2272,0,111.772,-25.7135,-1298,170260,88905,-981380,0
2302,0,152.729,-19.3513,-1302,567226,-172051,-805390,0
2303,0,133.416,-25.3824,-1302,20686.3,1577.07,-999785,0
2336,0,98.901,9.40098,-1302.5,288694,114260,-950579,0
2345,0,78.6242,0.0169248,-1302.5,625365,341433,-701671,0
2426,0,60.4526,18.2919,-1302,-380733,-339671,-860039,0
2432,0,163.424,57.3643,-1298,480186,121308,-868738,0
2486,0,137.283,75.7821,-1298,-159912,-98065.3,-982248,0
2531,0,97.0162,72.4417,-1298,445427,97970.1,-889942,0
2549,0,32.2931,42.2675,-1298,1953.18,-30356.2,-999537,0
2560,0,107.305,115.712,-1302,-370566,-241618,-896829,0
2611,0,68.346,114.393,-1302,-54291.2,-24536.1,-998224,0
2621,0,79.214,135.793,-1298,635741,364658,-680337,0
2628,0,14.7062,56.6486,-1297.5,356277,358910,-862700,0
2651,0,30.5138,94.0411,-1297.5,353350,205566,-912626,0
2660,0,46.7391,124.322,-1298,-62133.9,128375,-989777,0
2663,0,56.7398,150.375,-1298,247955,160376,-955405,0
2673,0,6.77794,38.9724,-1302.5,-227306,-525095,-820126,0
2681,0,4.39793,52.5664,-1302.5,-203026,-202243,-958060,0
2700,0,32.61,134.166,-1302,-239172,-323125,-915635,0
2727,0,14.1844,154.37,-1298,-98357.6,-254740,-961994,0
2730,0,18.1156,115.395,-1298,125952,-238130,-963032,0
2749,0,0.978613,170.135,-1302,-202867,247681,-947364,0
2772,0,-1.01434,74.9411,-1302,-27288.8,68871.8,-997252,0
2777,0,0.590086,63.2144,-1302,-238333,-366249,-899477,0
2784,0,-9.89001,142.226,-1298,-207331,608071,-766331,0
2790,0,-0.541818,116.384,-1298,115074,-192125,-974600,0
2802,0,-27.0633,155.193,-1302,44348.6,457247,-888233,0
2825,0,-3.76914,44.0212,-1297.5,-10823.4,32860.7,-999401,0
2887,0,-40.2567,141.812,-1302,-630440,330943,-702156,0
2894,0,-63.1937,163.582,-1302,-215480,574991,-789274,0
2924,0,-35.0598,67.8311,-1298,283877,-483263,-828173,0
2927,0,-31.3133,62.9595,-1298,-477499,533982,-697752,0
2936,0,-26.9583,55.5974,-1298,334736,-139638,-931908,0
2938,0,-36.8043,70.3472,-1298,-67267.9,-403595,-912462,0
2940,0,-31.7745,51.7421,-1298,-457451,232529,-858294,0
2954,0,-68.8866,89.2767,-1298,120853,-258000,-958557,0
2965,0,-34.6542,30.2754,-1302,-318384,582673,-747745,0
3007,0,-98.003,99.877,-1298,-228380,421169,-877758,0
3009,0,-113.451,111.67,-1298,284341,-320414,-903596,0
3013,0,-111.366,116.062,-1298,79239.6,-93722.4,-992440,0
3057,0,-118.86,107.194,-1302,-110136,604307,-789103,0
3087,0,-91.6607,69.0476,-1298,437733,-122967,-890657,0
3089,0,-138.938,98.6812,-1298,117369,-64090,-991018,0
3122,0,-137.655,55.6029,-1298,-754914,-157106,-636728,0
3144,0,-74.8821,25.2215,-1302,55008.7,20333.1,-998279,0
3147,0,-79.1382,14.534,-1302,-608981,-111660,-785286,0
3174,0,-95.5231,9.02864,-1297.5,-394823,392581,-830659,0
3177,0,-35.1431,-2.54,-1297.5,-601108,42485.4,-798037,0
3188,0,-30.3652,-2.71085,-1297.5,-424190,-168309,-889795,0
3214,0,-163.892,12.3746,-1298,-386459,36144.5,-921598,0
3224,0,-73.2095,-2.09325,-1102.5,22508.4,22767.8,-999487,0
3256,0,-106.732,3.03031,-1102,118999,96011.4,-988241,0
3261,0,-156.401,-7.01471,-1102,307688,-181714,-933974,0
3262,0,-131.697,-13.9569,-1102,-707212,-53005.9,-705012,0
3280,0,-41.3808,-13.8394,-1098,250125,152426,-956140,0
3292,0,-36.7232,-1.64524,-1098,-714023,-192735,-673071,0
3293,0,-88.1634,-20.8168,-1098,445514,347268,-825180,0
3320,0,-124.486,-31.0298,-1102,-340153,104255,-934573,0
3370,0,-108.617,-38.2911,-1098,-256011,42947.1,-965719,0
3382,0,-152.519,-61.8835,-1102,308290,-95326.4,-946504,0
3385,0,-94.7873,-47.1072,-1102,-350419,-182531,-918634,0
3397,0,-28.991,-23.6015,-1097.5,-429636,-80581.9,-899399,0
3428,0,-101.394,-58.6475,-1098,228484,355142,-906460,0
3436,0,-106.114,-79.3572,-1102,510524,-8604.01,-859820,0
3535,0,-74.9048,-82.0864,-1102,595603,138043,-791329,0
3537,0,-82.0507,-95.6415,-1098,-153851,-96905.8,-983331,0
3545,0,-65.2494,-83.5355,-1098,-617780,-380806,-687993,0
3578,0,-73.8044,-102.037,-1102,-669798,-229987,-706029,0
3632,0,-73.8118,-156.937,-1102,186850,332755,-924317,0
3633,0,-40.3204,-100.394,-1102,255156,337814,-905967,0
3640,0,-39.776,-130.295,-1098,-98371.2,-198526,-975146,0
3650,0,-21.2091,-67.0506,-1102.5,-105952,-275423,-955467,0
3690,0,-26.7293,-140.735,-1102,230496,-554701,-799486,0
3693,0,-23.2655,-131.129,-1102,370288,389071,-843511,0
3754,0,-11.9118,-147.03,-1102,-19090.4,65793.8,-997651,0
3787,0,3.87959,-65.2858,-1102,204661,-346866,-915313,0
3807,0,14.0664,-141.986,-1102,96406,273832,-956934,0
3808,0,32.1179,-170.041,-1102,-49927.8,410820,-910348,0
3837,0,15.7482,-35.7608,-1097.5,12132.3,-65467.3,-997781,0
3846,0,9.49788,-34.0742,-1097.5,71615.4,470878,-879287,0
3853,0,45.4528,-164.751,-1098,10058.4,32498.8,-999421,0
3855,0,34.9353,-114.134,-1098,-147002,106103,-983429,0
3856,0,32.9929,-110.265,-1098,36851.6,602043,-797613,0
3858,0,25.3561,-142.944,-1098,-13038.2,14691.3,-999807,0
3896,0,43.2707,-119.714,-1102,-11992.8,-345796,-938233,0
3900,0,51.9135,-135.969,-1102,-479258,317455,-818251,0
3914,0,49.4412,-129.313,-1098,-460681,388740,-797906,0
3948,0,22.8388,-36.1351,-1098,273341,-527809,-804178,0
3962,0,77.9048,-144.925,-1102,57041.5,-111624,-992112,0
3963,0,83.6539,-152.491,-1102,-419212,175372,-890789,0
3980,0,43.6375,-48.5734,-1102,-69207.1,12746.5,-997521,0
4004,0,27.005,-37.1682,-1102,472651,-57861,-879348,0
4035,0,53.1361,-50.3073,-1097.5,335526,-187550,-923172,0
4058,0,119.778,-95.5694,-1102,276267,-245907,-929089,0
4113,0,102.251,-60.0274,-1102,625857,-272551,-730766,0
4116,0,97.7498,-58.0636,-1102,-430519,168936,-886631,0
4144,0,58.667,-26.2303,-1098,-219759,421777,-879665,0
4155,0,157.685,-72.1876,-1098,657498,-155648,-737205,0
4169,0,96.1144,-27.5343,-1102,34930.7,-3601.34,-999383,0
4190,0,89.0857,-21.6012,-1102,362772,-267599,-892629,0
4204,0,167.142,-39.8921,-1098,-92845.1,118253,-988633,0
4205,0,116.396,-33.0716,-1098,316983,-233927,-919130,0
4246,0,124.914,-18.4469,-1102,-438487,-18343.4,-898550,0
4254,0,155.918,-1.17843,-1098,274090,-234867,-932583,0
4258,0,139.067,-11.301,-1098,-462784,291402,-837207,0
4293,0,60.0266,9.27855,-1102.5,-484486,28075.6,-874348,0
4297,0,80.3214,3.72905,-1102.5,-288913,-319817,-902356,0
4316,0,128.465,10.8299,-1102,280105,291478,-914649,0
4321,0,163.171,15.2082,-1098,-402480,-152657,-902610,0
4324,0,129.453,18.0218,-1098,268949,155106,-950583,0
4336,0,66.548,14.0869,-1098,-4649.71,-881.437,-999989,0
4352,0,64.3331,22.8425,-1098,-157656,-171051,-972567,0
4357,0,93.8358,19.4331,-1098,469833,-105184,-876466,0
4375,0,149.632,29.6356,-1102,638506,-192230,-745223,0
4384,0,90.1945,43.4476,-1102,162606,-33320,-986128,0
4388,0,47.4817,13.0171,-1102,494841,145949,-856639,0
4400,0,92.7973,36.9253,-1102,400088,250304,-881633,0
4418,0,138.082,47.4563,-1098,566414,469994,-676964,0
4421,0,110.193,43.2723,-1098,397457,322897,-858933,0
4423,0,163.518,64.2494,-1102,-275451,-424148,-862685,0
4434,0,27.7369,18.5584,-1097.5,-349969,-499922,-792212,0
4473,0,109.247,57.1324,-1098,692337,142975,-707267,0
4477,0,151.542,76.5556,-1098,156798,195749,-968038,0
4502,0,68.3568,51.7371,-1102.5,68955.2,47254.4,-996500,0
4503,0,77.5556,58.7603,-1102.5,146395,61420.2,-987318,0
4526,0,48.6427,41.0959,-1102.5,58959.9,214572,-974927,0
4604,0,60.43,82.5797,-1102,-275346,-521558,-807566,0
4651,0,71.9467,97.9038,-1102,-502332,-138736,-853472,0
4666,0,76.3855,146.9,-1098,-97593.8,-252929,-962550,0
4672,0,35.7314,77.4605,-1097.5,18482,-151438,-988294,0
4711,0,42.9061,115.168,-1102,-91206.9,753999,-650512,0
4716,0,43.5739,130.973,-1098,20717.6,82789.3,-996352,0
4730,0,13.6036,64.6797,-1102.5,25465.2,-43125.7,-998745,0
4742,0,27.4806,91.4566,-1102.5,423299,395325,-815191,0
4770,0,-1.95468,70.3835,-1098,173404,-424984,-888437,0
4816,0,4.81427,173.099,-1102,-76497,307185,-948570,0
4819,0,4.46771,155.931,-1102,-247019,555597,-793910,0
4833,0,-0.549067,74.1742,-1102,6676.84,8284.33,-999943,0
4872,0,-4.76808,137.954,-1098,-18954.4,-606808,-794623,0
4885,0,-14.0847,146.709,-1102,-906.539,-7454.88,-999972,0
4913,0,-6.93799,56.0931,-1097.5,514946,-398237,-759103,0
4949,0,-11.0622,31.8088,-1102.5,102458,-92344.3,-990442,0
5037,0,-46.4406,71.1755,-1098,40695.5,233050,-971613,0
5048,0,-41.2824,73.4043,-1098,16987.4,301066,-953452,0
5059,0,-24.3025,28.7061,-1098,-322428,485424,-812653,0
5080,0,-40.7451,36.5523,-1102,-106690,293636,-949945,0
5082,0,-31.3537,32.8142,-1102,-545367,447727,-708601,0
5141,0,-128.75,118.403,-1098,-118240,140247,-983031,0
5153,0,-26.0675,31.5986,-1097.5,-143891,432428,-890113,0
5175,0,-60.2343,45.6743,-1097.5,13559.7,-9022.84,-999867,0
5240,0,-109.645,54.5738,-1102,178915,-63361.8,-981822,0
5256,0,-38.1595,22.2613,-1098,-95720.3,88408.5,-991474,0
