hit_id,x,y,z,volume_id,layer_id,module_id
97153,-314.18,-30.1322,1218.5,14,2,1
97154,-368.395,-41.7709,1218.5,14,2,1
97155,-379.635,-24.1948,1218.5,14,2,1
97156,-316.823,1.50091,1218.5,14,2,1
97157,-378.251,-27.3196,1218.5,14,2,1
97158,-271.605,-11.2515,1218.5,14,2,1
97159,-266.532,-15.8042,1218.5,14,2,1
97160,-298.461,-4.20105,1218.5,14,2,1
97161,-262.533,-22.5431,1218.5,14,2,1
97162,-248.514,-15.5962,1218.5,14,2,1
97163,-343.795,-10.087,1218.5,14,2,1
97164,-327.708,-38.6399,1218.5,14,2,1
97165,-398.805,-7.53303,1224.5,14,2,2
97166,-520.12,-51.6847,1224.5,14,2,2
97167,-503.593,-24.9559,1224.5,14,2,2
97168,-538.392,-41.7944,1224.5,14,2,2
97169,-407.744,-19.5732,1224.5,14,2,2
97170,-407.457,-46.0788,1224.5,14,2,2
97171,-502.303,-26.5261,1224.5,14,2,2
97172,-482.063,-44.4995,1224.5,14,2,2
97173,-519.195,-25.3514,1224.5,14,2,2
97174,-606.18,-65.9354,1218.5,14,2,3
97175,-566.722,-62.1852,1218.5,14,2,3
97176,-616.728,-59.5587,1218.5,14,2,3
97177,-665.917,-61.0551,1218.5,14,2,3
97178,-661.503,-53.5738,1218.5,14,2,3
97179,-693.327,-65.4156,1218.5,14,2,3
97180,-568.028,-25.8037,1218.5,14,2,3
97181,-623.324,-55.9923,1218.5,14,2,3
97182,-639.715,-56.5976,1218.5,14,2,3
97183,-623.626,-42.5764,1218.5,14,2,3
97184,-638.386,-36.1,1218.5,14,2,3
97185,-599.592,-42.5986,1218.5,14,2,3
97186,-619.823,-23.4312,1218.5,14,2,3
97187,-572.036,-41.0343,1218.5,14,2,3
97188,-574.94,-31.4932,1218.5,14,2,3
97189,-571.376,-30.7056,1218.5,14,2,3
97190,-616.638,-15.4135,1218.5,14,2,3
97191,-577.354,-58.5185,1215.5,14,2,4
97192,-679.511,-114.458,1215.5,14,2,4
97193,-601.717,-119.48,1215.5,14,2,4
97194,-565.792,-62.4786,1215.5,14,2,4
97195,-552.522,-77.8654,1215.5,14,2,4
97196,-373.429,-60.1457,1215.5,14,2,5
97197,-365.583,-58.5727,1215.5,14,2,5
97198,-324.007,-59.4057,1215.5,14,2,5
97199,-250.668,-46.8802,1215.5,14,2,5
97200,-240.63,-48.5221,1215.5,14,2,5
97201,-248.403,-59.7221,1215.5,14,2,5
97202,-375.325,-79.3398,1215.5,14,2,5
97203,-343.195,-74.9742,1215.5,14,2,5
97204,-320.614,-57.9139,1215.5,14,2,5
97205,-310.341,-67.8003,1215.5,14,2,5
97206,-327.695,-38.4884,1215.5,14,2,5
97207,-513.701,-115.561,1221.5,14,2,6
97208,-521.481,-84.0995,1221.5,14,2,6
97209,-406.178,-46.332,1221.5,14,2,6
97210,-403.209,-49.4791,1221.5,14,2,6
97211,-585.48,-144.0,1218.5,14,2,7
97212,-627.984,-159.24,1218.5,14,2,7
97213,-555.671,-171.792,1218.5,14,2,7
97214,-556.376,-157.57,1218.5,14,2,7
97215,-591.759,-178.521,1218.5,14,2,7
97216,-653.835,-174.035,1218.5,14,2,7
97217,-311.819,-102.789,1218.5,14,2,8
97218,-301.675,-90.6496,1218.5,14,2,8
97219,-357.466,-109.315,1218.5,14,2,8
97220,-329.487,-85.6148,1218.5,14,2,8
97221,-275.076,-87.4464,1218.5,14,2,8
97222,-249.498,-59.9139,1218.5,14,2,8
97223,-251.213,-83.4754,1218.5,14,2,8
97224,-361.339,-108.929,1218.5,14,2,8
97225,-505.036,-167.977,1224.5,14,2,9
97226,-442.601,-113.774,1224.5,14,2,9
97227,-426.473,-119.909,1224.5,14,2,9
97228,-404.581,-133.042,1224.5,14,2,9
97229,-460.805,-113.441,1224.5,14,2,9
97230,-403.956,-120.041,1224.5,14,2,9
97231,-421.233,-132.317,1224.5,14,2,9
97232,-372.583,-124.906,1224.5,14,2,9
97233,-596.345,-254.109,1215.5,14,2,10
97234,-525.79,-176.724,1215.5,14,2,10
97235,-620.601,-237.798,1215.5,14,2,10
97236,-586.012,-197.313,1215.5,14,2,10
97237,-577.805,-228.739,1215.5,14,2,10
97238,-420.641,-173.456,1221.5,14,2,11
97239,-433.8,-178.271,1221.5,14,2,11
97240,-488.149,-195.487,1221.5,14,2,11
97241,-381.497,-173.644,1221.5,14,2,11
97242,-400.254,-194.452,1221.5,14,2,11
97243,-454.723,-170.405,1221.5,14,2,11
97244,-473.218,-184.497,1221.5,14,2,11
97245,-468.565,-173.78,1221.5,14,2,11
97246,-436.614,-197.607,1221.5,14,2,11
97247,-374.699,-131.838,1221.5,14,2,11
97248,-289.64,-114.745,1215.5,14,2,12
97249,-323.392,-154.657,1215.5,14,2,12
97250,-353.949,-132.291,1215.5,14,2,12
97251,-356.312,-132.875,1215.5,14,2,12
97252,-246.938,-101.64,1215.5,14,2,12
97253,-363.264,-137.965,1215.5,14,2,12
97254,-340.027,-149.418,1215.5,14,2,12
97255,-557.989,-278.922,1218.5,14,2,13
97256,-583.122,-316.823,1218.5,14,2,13
97257,-580.143,-301.524,1218.5,14,2,13
97258,-578.328,-326.232,1218.5,14,2,13
97259,-422.83,-259.923,1224.5,14,2,14
97260,-356.244,-191.862,1224.5,14,2,14
97261,-399.963,-197.104,1224.5,14,2,14
97262,-419.193,-231.771,1224.5,14,2,14
97263,-401.627,-194.093,1224.5,14,2,14
97264,-381.522,-220.548,1224.5,14,2,14
97265,-352.681,-205.751,1224.5,14,2,14
97266,-403.308,-198.495,1224.5,14,2,14
97267,-375.555,-201.575,1224.5,14,2,14
97268,-332.879,-175.837,1218.5,14,2,15
97269,-211.663,-121.788,1218.5,14,2,15
97270,-204.663,-136.314,1218.5,14,2,15
97271,-272.48,-152.051,1218.5,14,2,15
97272,-310.154,-167.197,1218.5,14,2,15
97273,-241.106,-125.993,1218.5,14,2,15
97274,-212.342,-125.413,1218.5,14,2,15
97275,-345.811,-177.438,1218.5,14,2,15
97276,-233.262,-151.579,1218.5,14,2,15
97277,-242.814,-159.034,1218.5,14,2,15
97278,-245.083,-128.704,1218.5,14,2,15
97279,-313.625,-189.986,1218.5,14,2,15
97280,-212.258,-137.558,1218.5,14,2,15
97281,-316.242,-195.053,1218.5,14,2,15
97282,-208.68,-138.956,1218.5,14,2,15
97283,-317.745,-182.85,1218.5,14,2,15
97284,-564.029,-364.949,1215.5,14,2,16
97285,-528.221,-334.16,1215.5,14,2,16
97286,-563.812,-332.233,1215.5,14,2,16
97287,-554.308,-377.714,1215.5,14,2,16
97288,-590.436,-359.539,1215.5,14,2,16
97289,-451.86,-315.142,1215.5,14,2,16
97290,-435.761,-320.061,1221.5,14,2,17
97291,-373.404,-270.389,1221.5,14,2,17
97292,-382.116,-282.995,1221.5,14,2,17
97293,-345.742,-220.205,1221.5,14,2,17
97294,-445.253,-287.33,1221.5,14,2,17
97295,-391.823,-294.199,1221.5,14,2,17
97296,-404.777,-317.417,1221.5,14,2,17
97297,-333.99,-229.164,1221.5,14,2,17
