hit_id,x,y,z,volume_id,layer_id,module_id
46117,-111.575,-12.4593,598.0,9,2,3
46118,-102.945,-18.6767,598.0,9,2,3
46119,-108.234,-10.8321,598.0,9,2,3
46120,-112.229,-7.95649,598.0,9,2,3
46121,-119.432,-13.3028,598.0,9,2,3
46122,-119.463,-12.146,598.0,9,2,3
46123,-167.262,-24.5688,598.0,9,2,3
46124,-120.353,-14.7447,598.0,9,2,3
46125,-140.857,-22.804,598.0,9,2,3
46126,-129.744,-16.4578,598.0,9,2,3
46127,-115.636,-23.1731,598.0,9,2,3
46128,-44.1703,-13.561,598.0,9,2,4
46129,-44.2751,-18.1627,598.0,9,2,4
46130,-30.5843,-4.12885,598.0,9,2,4
46131,-50.4222,-7.76025,598.0,9,2,4
46132,-35.5668,-15.5064,598.0,9,2,4
46133,-53.3766,-5.33355,598.0,9,2,4
46134,-70.2451,-21.8779,598.0,9,2,4
46135,-39.5171,-8.12456,598.0,9,2,4
46136,-39.1849,-2.18284,598.0,9,2,4
46137,-42.4023,-4.05841,598.0,9,2,4
46138,-61.4649,-19.2557,598.0,9,2,4
46139,-46.0359,-12.055,598.0,9,2,4
46140,-45.9291,-6.47587,598.0,9,2,4
46141,-30.0554,-6.5729,598.0,9,2,4
46142,-61.787,-14.3967,598.0,9,2,4
46143,-53.5212,-6.41768,598.0,9,2,4
46144,-33.755,-7.30684,598.0,9,2,4
46145,-95.5021,-21.2788,598.0,9,2,4
46146,-73.9102,-15.9188,598.0,9,2,4
46147,-31.2841,-8.92471,598.0,9,2,4
46148,-62.7797,-10.11,598.0,9,2,4
46149,-55.9587,-18.6023,598.0,9,2,4
46150,-31.8403,-15.6915,598.0,9,2,4
46151,-30.568,-6.85022,598.0,9,2,4
46152,-29.6384,-13.5501,598.0,9,2,4
46153,-36.4735,-11.4047,598.0,9,2,4
46154,-43.7904,-12.4928,598.0,9,2,4
46155,-44.2204,-16.9668,598.0,9,2,4
46156,-60.2325,-18.7028,598.0,9,2,4
46157,-60.1501,-18.323,598.0,9,2,4
46158,-34.0925,-0.600315,598.0,9,2,4
46159,-33.8304,-4.34253,598.0,9,2,4
46160,-37.4088,-17.3883,598.0,9,2,4
46161,-89.6543,-16.4077,598.0,9,2,4
46162,-53.6144,-13.3602,598.0,9,2,4
46163,-30.2192,-13.0913,598.0,9,2,4
46164,-39.2916,-0.871512,598.0,9,2,4
46165,-33.0817,-9.87049,598.0,9,2,4
46166,-37.6884,-3.21193,598.0,9,2,4
46167,-31.7498,-7.03111,598.0,9,2,4
46168,-63.7956,-21.3579,598.0,9,2,4
46169,-64.7608,-7.55176,598.0,9,2,4
46170,-34.9003,-3.98234,598.0,9,2,4
46171,-55.1787,-6.74251,598.0,9,2,4
46172,-82.5383,-12.2311,598.0,9,2,4
46173,-48.4225,-16.4331,598.0,9,2,4
46174,-36.1094,-12.4485,598.0,9,2,4
46175,-31.5768,-4.57281,598.0,9,2,4
46176,-31.1578,-11.4654,598.0,9,2,4
