hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
46714,-7.24526,-45.8573,598.0,9,2,25,3.647977545699164e+17
47047,23.6973,-30.2973,598.0,9,2,36,3.7380124297291366e+17
47055,16.7238,-25.2333,598.0,9,2,36,8.331680613673206e+17
47061,30.8252,-49.4888,598.0,9,2,36,3.017470849088225e+17
47079,39.4414,-52.5442,598.0,9,2,36,1.1710341719680614e+17
47329,35.5278,-13.7149,598.0,9,2,47,5.179179428772577e+17
47331,53.0737,-21.7944,598.0,9,2,47,2.7028469711896576e+16
47353,32.5368,-17.9962,598.0,9,2,47,5.719618943199478e+17
47358,61.1682,-28.3945,598.0,9,2,47,5.719582521876808e+17
47372,34.3169,-16.7852,598.0,9,2,47,6.845492049446175e+17
47377,39.3382,-16.8627,598.0,9,2,47,5.629531832367186e+17
47659,34.225,12.8189,598.0,9,2,58,7.340910685884252e+17
47668,58.6383,18.1144,598.0,9,2,58,9.68274881957331e+17
47687,34.0342,9.27644,598.0,9,2,58,4.458683202986312e+17
48279,-2.07901,35.0806,598.0,9,2,79,6.800484228157932e+17
48288,6.06688,41.7182,598.0,9,2,79,5.629511216524165e+17
48293,4.23659,37.5804,598.0,9,2,79,4.098338195630981e+17
48325,-2.59496,34.8977,598.0,9,2,79,7.836277782714778e+17
48873,-43.7842,21.1396,598.0,9,2,101,2.2068483423679283e+17
48874,-47.8304,18.8649,598.0,9,2,101,2.7472150141494886e+17
49783,-8.28967,-53.3923,698.0,9,4,25,3.647977545699164e+17
50080,27.4059,-35.4879,698.0,9,4,36,3.7380124297291366e+17
50083,45.7826,-61.4568,698.0,9,4,36,1.1710341719680614e+17
50091,36.2582,-57.3976,698.0,9,4,36,3.017470849088225e+17
50095,19.6806,-29.2929,698.0,9,4,36,8.331680613673206e+17
50338,41.2334,-16.403,698.0,9,4,47,5.179179428772577e+17
50343,38.1713,-20.7089,698.0,9,4,47,5.719618943199478e+17
50345,71.7177,-32.7642,698.0,9,4,47,5.719582521876808e+17
50348,45.6605,-20.1309,698.0,9,4,47,5.629531832367186e+17
50355,39.9616,-19.6645,698.0,9,4,47,6.845492049446175e+17
50382,61.5439,-25.8705,698.0,9,4,47,2.7028469711896576e+16
50675,68.3169,21.2135,698.0,9,4,58,9.68274881957331e+17
50677,39.9374,14.8073,698.0,9,4,58,7.340910685884252e+17
50688,39.7511,10.7004,698.0,9,4,58,4.458683202986312e+17
51264,4.83448,43.9029,698.0,9,4,79,4.098338195630981e+17
51279,6.97188,48.7564,698.0,9,4,79,5.629511216524165e+17
51301,-2.72546,40.8868,698.0,9,4,79,7.836277782714778e+17
51310,-2.20935,41.0718,698.0,9,4,79,6.800484228157932e+17
51872,-55.79,22.2701,698.0,9,4,101,2.7472150141494886e+17
51888,-51.3899,24.0736,698.0,9,4,101,2.2068483423679283e+17
52845,-9.50308,-62.4375,818.0,9,6,25,3.647977545699164e+17
53108,42.9947,-66.8596,818.0,9,6,36,3.017470849088225e+17
53129,53.2988,-72.191,818.0,9,6,36,1.1710341719680614e+17
53136,31.6946,-41.8166,818.0,9,6,36,3.7380124297291366e+17
53138,23.2753,-34.1063,818.0,9,6,36,8.331680613673206e+17
53399,53.0942,-24.1842,818.0,9,6,47,5.629531832367186e+17
53404,84.4948,-37.8943,818.0,9,6,47,5.719582521876808e+17
53406,46.7251,-23.2237,818.0,9,6,47,6.845492049446175e+17
53424,47.921,-19.6601,818.0,9,6,47,5.179179428772577e+17
53426,44.9683,-23.849,818.0,9,6,47,5.719618943199478e+17
53434,71.6766,-30.9071,818.0,9,6,47,2.7028469711896576e+16
53699,46.617,12.3487,818.0,9,6,58,4.458683202986312e+17
53713,46.7984,17.0716,818.0,9,6,58,7.340910685884252e+17
53719,79.9324,25.0777,818.0,9,6,58,9.68274881957331e+17
54263,-2.77174,47.946,818.0,9,6,79,7.836277782714778e+17
54265,-2.24701,48.2406,818.0,9,6,79,6.800484228157932e+17
