/Users/doduydao/anaconda3/envs/track_finding/bin/python /Users/doduydao/daodd/PycharmProjects/track/src/Bogdan_idea/D_QCBM.py
Folder exist
beta_max: 0.031415926535897934
Solving CQM ...
Run time: 5.262967
Objective value: -0.43385003941800016
x_0_26 1.0
x_100_125 1.0
x_101_126 1.0
x_102_128 1.0
x_103_127 1.0
x_104_130 1.0
x_105_129 1.0
x_106_131 1.0
x_107_132 1.0
x_108_133 1.0
x_109_134 1.0
x_10_34 1.0
x_110_136 1.0
x_111_135 1.0
x_112_137 1.0
x_113_139 1.0
x_114_138 1.0
x_115_140 1.0
x_116_141 1.0
x_117_142 1.0
x_118_144 1.0
x_119_143 1.0
x_11_33 1.0
x_120_146 1.0
x_121_145 1.0
x_122_148 1.0
x_123_147 1.0
x_124_149 1.0
x_125_150 1.0
x_126_151 1.0
x_127_152 1.0
x_128_153 1.0
x_129_154 1.0
x_12_37 1.0
x_130_156 1.0
x_131_155 1.0
x_132_157 1.0
x_133_158 1.0
x_134_160 1.0
x_135_159 1.0
x_136_161 1.0
x_137_162 1.0
x_138_164 1.0
x_139_163 1.0
x_13_38 1.0
x_140_165 1.0
x_141_166 1.0
x_142_167 1.0
x_143_168 1.0
x_144_170 1.0
x_145_171 1.0
x_146_169 1.0
x_147_172 1.0
x_148_173 1.0
x_149_174 1.0
x_14_39 1.0
x_15_41 1.0
x_16_42 1.0
x_17_40 1.0
x_18_45 1.0
x_19_46 1.0
x_1_25 1.0
x_20_43 1.0
x_21_44 1.0
x_22_47 1.0
x_23_49 1.0
x_24_48 1.0
x_25_51 1.0
x_26_50 1.0
x_27_52 1.0
x_28_53 1.0
x_29_55 1.0
x_2_27 1.0
x_30_54 1.0
x_31_56 1.0
x_32_57 1.0
x_33_60 1.0
x_34_61 1.0
x_35_59 1.0
x_36_58 1.0
x_37_62 1.0
x_38_64 1.0
x_39_63 1.0
x_3_28 1.0
x_40_66 1.0
x_41_67 1.0
x_42_65 1.0
x_43_68 1.0
x_44_71 1.0
x_45_70 1.0
x_46_69 1.0
x_47_73 1.0
x_48_74 1.0
x_49_72 1.0
x_4_29 1.0
x_50_75 1.0
x_51_76 1.0
x_52_78 1.0
x_53_77 1.0
x_54_82 1.0
x_55_81 1.0
x_56_80 1.0
x_57_79 1.0
x_58_84 1.0
x_59_86 1.0
x_5_32 1.0
x_60_83 1.0
x_61_85 1.0
x_62_87 1.0
x_63_89 1.0
x_64_88 1.0
x_65_92 1.0
x_66_90 1.0
x_67_91 1.0
x_68_96 1.0
x_69_93 1.0
x_6_31 1.0
x_70_95 1.0
x_71_94 1.0
x_72_97 1.0
x_73_98 1.0
x_74_99 1.0
x_75_100 1.0
x_76_101 1.0
x_77_102 1.0
x_78_103 1.0
x_79_104 1.0
x_7_30 1.0
x_80_105 1.0
x_81_106 1.0
x_82_107 1.0
x_83_109 1.0
x_84_110 1.0
x_85_108 1.0
x_86_111 1.0
x_87_112 1.0
x_88_113 1.0
x_89_114 1.0
x_8_36 1.0
x_90_117 1.0
x_91_116 1.0
x_92_115 1.0
x_93_121 1.0
x_94_119 1.0
x_95_118 1.0
x_96_120 1.0
x_97_122 1.0
x_98_124 1.0
x_99_123 1.0
x_9_35 1.0
expected cost= -0.4338500394175256

Process finished with exit code 0
