/Users/doduydao/anaconda3/envs/track_finding/bin/python /Users/doduydao/daodd/PycharmProjects/track/src/DWave/CQM_Dwave_2F_LB_no_dist.py
8 21
---First constraints---
Number of first constraints: 120
---Second constraints---
Number of second constraints: 120
Model: Track
 - number of variables: 2400
   - binary=2400, integer=0, continuous=0
 - number of constraints: 241
   - linear=240, quadratic=1
 - parameters: defaults
 - objective: minimize quadratic
 - problem type is: MIQCP
Wrote model
Run time: 5.37639
Objective value: 0.12276825403999997
f_1_10_12 1.0
f_1_11_11 1.0
f_1_12_10 1.0
f_1_13_13 1.0
f_1_14_15 1.0
f_1_15_14 1.0
f_1_16_16 1.0
f_1_17_17 1.0
f_1_18_18 1.0
f_1_19_19 1.0
f_1_1_2 1.0
f_1_20_20 1.0
f_1_2_1 1.0
f_1_3_3 1.0
f_1_4_4 1.0
f_1_5_9 1.0
f_1_6_6 1.0
f_1_7_8 1.0
f_1_8_5 1.0
f_1_9_7 1.0
f_2_10_10 1.0
f_2_11_11 1.0
f_2_12_12 1.0
f_2_13_13 1.0
f_2_14_15 1.0
f_2_15_16 1.0
f_2_16_14 1.0
f_2_17_17 1.0
f_2_18_18 1.0
f_2_19_19 1.0
f_2_1_1 1.0
f_2_20_20 1.0
f_2_2_2 1.0
f_2_3_3 1.0
f_2_4_4 1.0
f_2_5_9 1.0
f_2_6_8 1.0
f_2_7_6 1.0
f_2_8_5 1.0
f_2_9_7 1.0
f_3_10_12 1.0
f_3_11_11 1.0
f_3_12_10 1.0
f_3_13_13 1.0
f_3_14_16 1.0
f_3_15_14 1.0
f_3_16_15 1.0
f_3_17_18 1.0
f_3_18_17 1.0
f_3_19_19 1.0
f_3_1_3 1.0
f_3_20_20 1.0
f_3_2_2 1.0
f_3_3_1 1.0
f_3_4_4 1.0
f_3_5_8 1.0
f_3_6_9 1.0
f_3_7_7 1.0
f_3_8_6 1.0
f_3_9_5 1.0
f_4_10_12 1.0
f_4_11_10 1.0
f_4_12_11 1.0
f_4_13_13 1.0
f_4_14_15 1.0
f_4_15_14 1.0
f_4_16_16 1.0
f_4_17_18 1.0
f_4_18_17 1.0
f_4_19_19 1.0
f_4_1_1 1.0
f_4_20_20 1.0
f_4_2_2 1.0
f_4_3_3 1.0
f_4_4_4 1.0
f_4_5_5 1.0
f_4_6_8 1.0
f_4_7_6 1.0
f_4_8_7 1.0
f_4_9_9 1.0
f_5_10_11 1.0
f_5_11_10 1.0
f_5_12_12 1.0
f_5_13_13 1.0
f_5_14_15 1.0
f_5_15_16 1.0
f_5_16_14 1.0
f_5_17_18 1.0
f_5_18_17 1.0
f_5_19_19 1.0
f_5_1_1 1.0
f_5_20_20 1.0
f_5_2_2 1.0
f_5_3_3 1.0
f_5_4_4 1.0
f_5_5_5 1.0
f_5_6_8 1.0
f_5_7_6 1.0
f_5_8_7 1.0
f_5_9_9 1.0
f_6_10_12 1.0
f_6_11_11 1.0
f_6_12_10 1.0
f_6_13_13 1.0
f_6_14_14 1.0
f_6_15_15 1.0
f_6_16_16 1.0
f_6_17_17 1.0
f_6_18_18 1.0
f_6_19_19 1.0
f_6_1_1 1.0
f_6_20_20 1.0
f_6_2_2 1.0
f_6_3_3 1.0
f_6_4_4 1.0
f_6_5_5 1.0
f_6_6_6 1.0
f_6_7_8 1.0
f_6_8_7 1.0
f_6_9_9 1.0
