hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
46159,-33.8304,-4.34253,598.0,9,2,4,3.648099179172987e+17
46432,-27.6168,-42.4591,598.0,9,2,14,1.1710101201512038e+17
46433,-41.1109,-51.8686,598.0,9,2,14,2.2518960209526784e+17
46440,-45.3227,-46.4835,598.0,9,2,14,1.801441225337733e+17
46706,0.0163376,-44.7203,598.0,9,2,25,5.854913161802547e+16
46714,-7.24526,-45.8573,598.0,9,2,25,3.647977545699164e+17
46727,-8.43618,-38.7106,598.0,9,2,25,4.233468861879419e+17
46746,-4.62524,-39.9697,598.0,9,2,25,7.791286454100951e+17
46754,-0.160361,-33.5827,598.0,9,2,25,1.1710259256308531e+17
47051,18.3619,-30.2989,598.0,9,2,36,3.963180728786616e+17
47057,36.5525,-59.6961,598.0,9,2,36,1.8023125883027456e+16
47061,30.8252,-49.4888,598.0,9,2,36,3.017470849088225e+17
47079,39.4414,-52.5442,598.0,9,2,36,1.1710341719680614e+17
47331,53.0737,-21.7944,598.0,9,2,47,2.7028469711896576e+16
47353,32.5368,-17.9962,598.0,9,2,47,5.719618943199478e+17
47990,40.4255,43.0594,598.0,9,2,68,6.306077142417408e+16
48297,4.17668,52.7512,598.0,9,2,79,4515556816322560.0
48566,-22.8896,28.118,598.0,9,2,90,5.584634649436488e+17
48586,-21.3556,33.94,598.0,9,2,90,6.710514627630858e+17
48850,-29.7733,12.4678,598.0,9,2,101,4.1883558997917696e+17
49160,-39.3669,-5.26036,698.0,9,4,4,3.648099179172987e+17
49434,-52.7537,-54.7222,698.0,9,4,14,1.801441225337733e+17
49450,-48.1486,-60.2627,698.0,9,4,14,2.2518960209526784e+17
49463,-32.6344,-49.2578,698.0,9,4,14,1.1710101201512038e+17
49736,-0.515766,-52.1186,698.0,9,4,25,5.854913161802547e+16
49754,-0.503876,-39.222,698.0,9,4,25,1.1710259256308531e+17
49756,-5.29997,-46.631,698.0,9,4,25,7.791286454100951e+17
49763,-9.18302,-44.3506,698.0,9,4,25,4.233468861879419e+17
49783,-8.28967,-53.3923,698.0,9,4,25,3.647977545699164e+17
50067,21.1789,-35.5656,698.0,9,4,36,3.963180728786616e+17
50083,45.7826,-61.4568,698.0,9,4,36,1.1710341719680614e+17
50085,43.3138,-69.1984,698.0,9,4,36,1.8023125883027456e+16
50091,36.2582,-57.3976,698.0,9,4,36,3.017470849088225e+17
50343,38.1713,-20.7089,698.0,9,4,47,5.719618943199478e+17
50382,61.5439,-25.8705,698.0,9,4,47,2.7028469711896576e+16
51004,46.4175,50.9989,698.0,9,4,68,6.306077142417408e+16
51268,4.31543,61.5241,698.0,9,4,79,4515556816322560.0
51563,-26.7782,33.1239,698.0,9,4,90,5.584634649436488e+17
51606,-24.8398,39.6258,698.0,9,4,90,6.710514627630858e+17
51896,-34.8139,14.5557,698.0,9,4,101,4.1883558997917696e+17
52228,-45.9525,-6.37864,818.0,9,6,4,3.648099179172987e+17
52502,-38.7954,-57.3183,818.0,9,6,14,1.1710101201512038e+17
52515,-61.6345,-64.7354,818.0,9,6,14,1.801441225337733e+17
52525,-56.6317,-70.272,818.0,9,6,14,2.2518960209526784e+17
52817,-5.98092,-54.6461,818.0,9,6,25,7.791286454100951e+17
52835,-1.41558,-61.0027,818.0,9,6,25,5.854913161802547e+16
52837,-10.0704,-51.1645,818.0,9,6,25,4.233468861879419e+17
52838,-0.933783,-45.959,818.0,9,6,25,1.1710259256308531e+17
52845,-9.50308,-62.4375,818.0,9,6,25,3.647977545699164e+17
53108,42.9947,-66.8596,818.0,9,6,36,3.017470849088225e+17
53114,24.4984,-41.8438,818.0,9,6,36,3.963180728786616e+17
53116,51.643,-80.4938,818.0,9,6,36,1.8023125883027456e+16
53129,53.2988,-72.191,818.0,9,6,36,1.1710341719680614e+17
53426,44.9683,-23.849,818.0,9,6,47,5.719618943199478e+17
53434,71.6766,-30.9071,818.0,9,6,47,2.7028469711896576e+16
53996,53.3461,60.651,818.0,9,6,68,6.306077142417408e+16
54277,4.40352,72.2026,818.0,9,6,79,4515556816322560.0
54546,-31.3991,39.3247,818.0,9,6,90,5.584634649436488e+17
54580,-28.9839,46.484,818.0,9,6,90,6.710514627630858e+17
54899,-40.8616,17.0066,818.0,9,6,101,4.1883558997917696e+17
55229,-53.6369,-7.86356,958.0,9,8,4,3.648099179172987e+17
55454,-46.0906,-66.5528,958.0,9,8,14,1.1710101201512038e+17
55476,-66.6761,-81.8211,958.0,9,8,16,2.2518960209526784e+17
55482,-71.7591,-76.5938,958.0,9,8,16,1.801441225337733e+17
55709,-2.62953,-71.3292,958.0,9,8,25,5.854913161802547e+16
55721,-10.8396,-73.0463,958.0,9,8,25,3.647977545699164e+17
55729,-11.046,-59.0999,958.0,9,8,25,4.233468861879419e+17
55733,-6.76338,-63.9509,958.0,9,8,25,7.791286454100951e+17
55739,-1.60149,-53.8058,958.0,9,8,25,1.1710259256308531e+17
55960,28.2058,-49.1378,958.0,9,8,36,3.963180728786616e+17
55986,51.0972,-77.785,958.0,9,8,36,3.017470849088225e+17
56011,61.7502,-93.462,958.0,9,8,38,1.8023125883027456e+16
56017,62.0341,-84.7635,958.0,9,8,38,1.1710341719680614e+17
56224,53.015,-27.2903,958.0,9,8,47,5.719618943199478e+17
56225,83.3926,-36.9737,958.0,9,8,47,2.7028469711896576e+16
56704,61.1019,72.1955,958.0,9,8,68,6.306077142417408e+16
56962,4.08287,84.6974,958.0,9,8,79,4515556816322560.0
57195,-33.8068,54.5457,958.0,9,8,90,6.710514627630858e+17
57209,-36.6157,46.6891,958.0,9,8,90,5.584634649436488e+17
57468,-47.897,19.8666,958.0,9,8,101,4.1883558997917696e+17
57734,-61.255,-9.38397,1098.0,9,10,4,3.648099179172987e+17
57955,-53.6102,-75.665,1098.0,9,10,14,1.1710101201512038e+17
57983,-81.724,-88.6723,1098.0,9,10,16,1.801441225337733e+17
57985,-76.7689,-93.2711,1098.0,9,10,16,2.2518960209526784e+17
58162,-7.40041,-73.3197,1098.0,9,10,25,7.791286454100951e+17
58164,-4.04415,-81.6563,1098.0,9,10,25,5.854913161802547e+16
58166,-12.073,-83.6199,1098.0,9,10,25,3.647977545699164e+17
58180,-11.9263,-67.0992,1098.0,9,10,25,4.233468861879419e+17
58190,-2.46859,-61.6369,1098.0,9,10,25,1.1710259256308531e+17
58392,31.7582,-56.5616,1098.0,9,10,36,3.963180728786616e+17
58416,59.3878,-88.6862,1098.0,9,10,38,3.017470849088225e+17
58417,70.6377,-97.4117,1098.0,9,10,38,1.1710341719680614e+17
58419,72.4418,-105.973,1098.0,9,10,38,1.8023125883027456e+16
58620,61.196,-30.679,1098.0,9,10,47,5.719618943199478e+17
58630,94.9077,-43.2996,1098.0,9,10,48,2.7028469711896576e+16
59047,68.5082,83.7926,1098.0,9,10,70,6.306077142417408e+16
59240,3.41181,97.2008,1098.0,9,10,79,4515556816322560.0
59412,-41.6886,54.2018,1098.0,9,10,90,5.584634649436488e+17
59427,-38.5871,62.6336,1098.0,9,10,90,6.710514627630858e+17
59668,-54.9833,22.7478,1098.0,9,10,101,4.1883558997917696e+17
59930,-72.0944,-11.6263,1298.0,9,12,4,3.648099179172987e+17
60107,-91.4006,-109.404,1298.0,9,12,16,2.2518960209526784e+17
60112,-95.6218,-106.191,1298.0,9,12,16,1.801441225337733e+17
60116,-64.7925,-88.3969,1298.0,9,12,16,1.1710101201512038e+17
60258,-6.31381,-96.3172,1298.0,9,12,25,5.854913161802547e+16
60263,-3.8453,-72.757,1298.0,9,12,25,1.1710259256308531e+17
60265,-13.7176,-98.7814,1298.0,9,12,25,3.647977545699164e+17
60266,-13.0738,-78.4927,1298.0,9,12,25,4.233468861879419e+17
60267,-8.15389,-86.7172,1298.0,9,12,25,7.791286454100951e+17
60430,36.5491,-67.2736,1298.0,9,12,36,3.963180728786616e+17
60459,71.6277,-104.165,1298.0,9,12,38,3.017470849088225e+17
60463,82.6964,-115.546,1298.0,9,12,38,1.1710341719680614e+17
60464,88.6197,-123.485,1298.0,9,12,38,1.8023125883027456e+16
60617,73.0365,-35.3129,1298.0,9,12,47,5.719618943199478e+17
60642,111.016,-52.7077,1298.0,9,12,48,2.7028469711896576e+16
60995,78.2119,100.566,1298.0,9,12,70,6.306077142417408e+16
61204,1.91933,114.927,1298.0,9,12,83,4515556816322560.0
61323,-48.7497,65.2461,1298.0,9,12,90,5.584634649436488e+17
61351,-45.3851,74.301,1298.0,9,12,90,6.710514627630858e+17
61534,-65.0706,26.7637,1298.0,9,12,101,4.1883558997917696e+17
61751,-82.8671,-14.0584,1498.0,9,14,4,3.648099179172987e+17
61910,-76.4762,-100.667,1498.0,9,14,16,1.1710101201512038e+17
61912,-106.212,-125.363,1498.0,9,14,16,2.2518960209526784e+17
61917,-109.172,-124.075,1498.0,9,14,16,1.801441225337733e+17
62044,-5.5255,-83.9095,1498.0,9,14,25,1.1710259256308531e+17
62051,-14.0715,-89.895,1498.0,9,14,25,4.233468861879419e+17
62052,-8.76259,-100.187,1498.0,9,14,25,7.791286454100951e+17
62063,-9.0559,-110.701,1498.0,9,14,26,5.854913161802547e+16
62068,-15.2113,-113.932,1498.0,9,14,26,3.647977545699164e+17
62192,40.9148,-78.0109,1498.0,9,14,36,3.963180728786616e+17
62214,84.2213,-119.453,1498.0,9,14,38,3.017470849088225e+17
62216,105.437,-140.339,1498.0,9,14,38,1.8023125883027456e+16
62217,94.468,-133.792,1498.0,9,14,38,1.1710341719680614e+17
62351,84.9016,-39.7405,1498.0,9,14,47,5.719618943199478e+17
62367,126.599,-62.321,1498.0,9,14,48,2.7028469711896576e+16
62661,87.5022,117.467,1498.0,9,14,70,6.306077142417408e+16
62846,0.0625247,132.353,1498.0,9,14,83,4515556816322560.0
62948,-52.0845,86.0947,1498.0,9,14,90,6.710514627630858e+17
62951,-55.5845,76.4951,1498.0,9,14,90,5.584634649436488e+17
63111,-75.177,30.7334,1498.0,9,14,101,4.1883558997917696e+17
46155,-44.2204,-16.9668,598.0,9,2,4,1.3961749832348467e+17
47345,89.454,-40.1649,598.0,9,2,47,8.872117379321037e+17
47692,34.588,1.54201,598.0,9,2,58,2.25193725263872e+17
47969,44.0711,43.9403,598.0,9,2,68,5.899726506971628e+17
48322,5.98866,48.1974,598.0,9,2,79,5.854685700502364e+17
48839,-42.2795,25.5274,598.0,9,2,101,2.252672551039795e+16
49169,-30.7671,-7.46366,698.0,9,4,4,8.737159198959206e+17
49803,-20.1681,-145.847,698.0,9,4,26,8.376704927635866e+17
50079,39.0981,-54.3764,698.0,9,4,36,7.115689472829686e+17
50392,104.342,-54.5161,698.0,9,4,48,7.115731391710495e+17
51283,-3.07593,42.8064,698.0,9,4,79,4.5486479931500134e+17
51386,-7.92441,129.309,698.0,9,4,83,2.2069150002603622e+17
51584,-27.567,34.124,698.0,9,4,90,1.8465060837916672e+17
51914,-33.0768,11.4008,698.0,9,4,101,5.584522636689408e+17
52222,-73.2941,-18.7533,818.0,9,6,4,8.016432762925875e+17
52500,-68.843,-73.7913,818.0,9,6,14,8.782085931264901e+17
52523,-36.3094,-53.0988,818.0,9,6,14,4.323467324586721e+17
53094,43.634,-107.548,818.0,9,6,35,1.171033484773294e+17
53125,19.2123,-25.7535,818.0,9,6,36,6.710693985465139e+17
53162,96.8054,-128.799,818.0,9,6,38,3.242593793291059e+17
53236,91.328,-102.889,818.0,9,6,41,6.57530081081557e+17
53417,81.1707,-42.3082,818.0,9,6,47,7.115692221608755e+17
54022,59.395,82.2842,818.0,9,6,68,6.62040071620264e+17
54298,5.11308,90.1402,818.0,9,6,79,7.47604135213269e+17
54524,-39.1158,103.505,818.0,9,6,89,6.395373292072468e+17
54579,-14.1007,38.8476,818.0,9,6,90,1.8015216271255142e+17
56331,108.358,-27.5657,958.0,9,8,51,3.963180041591849e+17
59041,89.7255,115.135,1098.0,9,10,70,1.5312967159513088e+17
59984,-134.094,-50.2434,1298.0,9,12,7,9.637714884883907e+17
60271,-8.90835,-49.1452,1298.0,9,12,25,4.4586179194834125e+17
60281,-20.1088,-159.536,1298.0,9,12,26,8.646916094914724e+17
60585,99.8082,-74.0369,1298.0,9,12,45,3.602887948233605e+17
60630,51.1559,-16.9952,1298.0,9,12,47,4528338638995456.0
60686,114.067,-33.1205,1298.0,9,12,51,8.782106547107922e+17
60780,114.028,8.00548,1298.0,9,12,57,6.395242037871903e+17
60994,62.336,84.1864,1298.0,9,12,70,6.935579160278467e+17
61610,-155.787,30.8109,1298.0,9,12,105,7.521031306356982e+17
61756,-84.0238,-14.5417,1498.0,9,14,4,3.017565681966121e+17
62053,-3.074,-66.7803,1498.0,9,14,25,8.646914033330422e+17
62187,43.3509,-69.0675,1498.0,9,14,36,4.233398768013148e+17
