hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
46727,-8.43618,-38.7106,598.0,9,2,25,4.233468861879419e+17
46748,-1.28792,-32.6151,598.0,9,2,25,1.576272239085486e+17
47045,14.4612,-27.8569,598.0,9,2,36,1.0358732691498598e+17
47080,33.645,-46.5304,598.0,9,2,36,7.115689472829686e+17
48313,3.63247,44.5617,598.0,9,2,79,8.646943582705418e+17
48848,-45.191,20.1529,598.0,9,2,101,4.6837965264624026e+17
49739,-1.37151,-38.1381,698.0,9,4,25,1.576272239085486e+17
49763,-9.18302,-44.3506,698.0,9,4,25,4.233468861879419e+17
50079,39.0981,-54.3764,698.0,9,4,36,7.115689472829686e+17
50094,16.8947,-32.498,698.0,9,4,36,1.0358732691498598e+17
51275,4.41883,52.0042,698.0,9,4,79,8.646943582705418e+17
51871,-52.7217,23.6511,698.0,9,4,101,4.6837965264624026e+17
52810,-1.39382,-44.7944,818.0,9,6,25,1.576272239085486e+17
52837,-10.0704,-51.1645,818.0,9,6,25,4.233468861879419e+17
53107,45.5882,-63.819,818.0,9,6,36,7.115689472829686e+17
53132,19.8673,-38.0186,818.0,9,6,36,1.0358732691498598e+17
54284,5.47388,60.949,818.0,9,6,79,8.646943582705418e+17
54891,-61.767,27.8307,818.0,9,6,101,4.6837965264624026e+17
55728,-1.40471,-52.58,958.0,9,8,25,1.576272239085486e+17
55729,-11.046,-59.0999,958.0,9,8,25,4.233468861879419e+17
55967,53.0359,-74.8243,958.0,9,8,36,7.115689472829686e+17
55988,23.347,-44.4626,958.0,9,8,36,1.0358732691498598e+17
56975,6.84306,71.3361,958.0,9,8,79,8.646943582705418e+17
57451,-72.2811,32.727,958.0,9,8,101,4.6837965264624026e+17
58167,-1.31591,-60.3735,1098.0,9,10,25,1.576272239085486e+17
58180,-11.9263,-67.0992,1098.0,9,10,25,4.233468861879419e+17
58397,26.8694,-50.8804,1098.0,9,10,36,1.0358732691498598e+17
58418,60.3631,-85.8631,1098.0,9,10,38,7.115689472829686e+17
59241,8.31104,81.704,1098.0,9,10,79,8.646943582705418e+17
59661,-82.8089,37.7372,1098.0,9,10,101,4.6837965264624026e+17
60266,-13.0738,-78.4927,1298.0,9,12,25,4.233468861879419e+17
60268,-1.08725,-71.4882,1298.0,9,12,25,1.576272239085486e+17
60446,31.9245,-59.9909,1298.0,9,12,36,1.0358732691498598e+17
60458,70.7264,-101.699,1298.0,9,12,38,7.115689472829686e+17
61144,10.5737,96.4333,1298.0,9,12,79,8.646943582705418e+17
61551,-97.8214,44.9141,1298.0,9,12,102,4.6837965264624026e+17
62051,-14.0715,-89.895,1498.0,9,14,25,4.233468861879419e+17
62060,-0.759939,-82.6239,1498.0,9,14,25,1.576272239085486e+17
62190,37.0059,-69.1442,1498.0,9,14,36,1.0358732691498598e+17
62221,80.9484,-117.506,1498.0,9,14,38,7.115689472829686e+17
62810,13.0562,111.149,1498.0,9,14,80,8.646943582705418e+17
63130,-112.831,52.1425,1498.0,9,14,102,4.6837965264624026e+17
