hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
46165,-33.0817,-9.87049,598.0,9,2,4,1.0359241215626445e+17
47654,66.5914,18.5325,598.0,9,2,58,9.637714197689139e+17
47659,34.225,12.8189,598.0,9,2,58,7.340910685884252e+17
47687,34.0342,9.27644,598.0,9,2,58,4.458683202986312e+17
47706,53.0218,13.9378,598.0,9,2,58,7.160752269699318e+17
47978,29.8093,31.3223,598.0,9,2,68,1.6665758162694963e+17
49190,-38.6088,-11.3517,698.0,9,4,4,1.0359241215626445e+17
50676,61.7466,16.3924,698.0,9,4,58,7.160752269699318e+17
50677,39.9374,14.8073,698.0,9,4,58,7.340910685884252e+17
50688,39.7511,10.7004,698.0,9,4,58,4.458683202986312e+17
50689,77.5374,22.3431,698.0,9,4,58,9.637714197689139e+17
50946,34.6811,36.6415,698.0,9,4,68,1.6665758162694963e+17
52235,-45.2205,-13.0419,818.0,9,6,4,1.0359241215626445e+17
53699,46.617,12.3487,818.0,9,6,58,4.458683202986312e+17
53709,90.6834,27.0418,818.0,9,6,58,9.637714197689139e+17
53713,46.7984,17.0716,818.0,9,6,58,7.340910685884252e+17
53724,72.2413,19.4261,818.0,9,6,58,7.160752269699318e+17
53968,40.4636,43.0269,818.0,9,6,68,1.6665758162694963e+17
55212,-53.0187,-15.0169,958.0,9,8,4,1.0359241215626445e+17
56482,54.8705,19.5751,958.0,9,8,58,7.340910685884252e+17
56500,84.4848,22.9826,958.0,9,8,58,7.160752269699318e+17
56501,54.6662,14.1783,958.0,9,8,58,4.458683202986312e+17
56563,105.96,32.7986,958.0,9,8,61,9.637714197689139e+17
56716,47.2308,50.4884,958.0,9,8,68,1.6665758162694963e+17
57753,-60.8402,-16.8947,1098.0,9,10,4,1.0359241215626445e+17
58806,62.919,21.9702,1098.0,9,10,58,7.340910685884252e+17
58808,62.7415,15.9628,1098.0,9,10,58,4.458683202986312e+17
58813,96.6949,26.6339,1098.0,9,10,58,7.160752269699318e+17
58883,121.056,38.9128,1098.0,9,10,61,9.637714197689139e+17
59015,53.9126,58.0808,1098.0,9,10,68,1.6665758162694963e+17
59918,-72.0215,-19.4762,1298.0,9,12,4,1.0359241215626445e+17
60794,74.5735,25.231,1298.0,9,12,58,7.340910685884252e+17
60800,74.3124,18.2779,1298.0,9,12,58,4.458683202986312e+17
60851,114.134,31.9523,1298.0,9,12,61,7.160752269699318e+17
60855,142.501,48.2097,1298.0,9,12,61,9.637714197689139e+17
60958,63.4524,68.9426,1298.0,9,12,68,1.6665758162694963e+17
61750,-83.3705,-21.8409,1498.0,9,14,4,1.0359241215626445e+17
62495,86.2631,28.3459,1498.0,9,14,58,7.340910685884252e+17
62498,85.8728,20.3334,1498.0,9,14,58,4.458683202986312e+17
62534,163.781,57.8206,1498.0,9,14,61,9.637714197689139e+17
62547,131.526,37.4122,1498.0,9,14,61,7.160752269699318e+17
62658,72.9411,79.8174,1498.0,9,14,70,1.6665758162694963e+17
46767,-23.6779,-122.874,598.0,9,2,26,8.016502169597379e+17
48481,-20.0786,106.225,598.0,9,2,86,3.017551938070774e+17
48975,-171.809,35.2984,598.0,9,2,105,4.1884967747190784e+17
49165,-35.1962,-15.5202,698.0,9,4,4,2.2522052585979904e+16
49891,7.00206,-163.903,698.0,9,4,29,3.377767065615073e+17
50778,106.347,35.0902,698.0,9,4,61,9.097290488741888e+17
50955,31.429,47.3076,698.0,9,4,68,7.070702267384463e+17
54309,6.4103,105.126,818.0,9,6,80,1.035875330734162e+17
54447,-28.997,148.948,818.0,9,6,86,3.3777863070685594e+17
54864,-69.5048,23.5673,818.0,9,6,101,7.340989026087731e+17
55886,34.3817,-159.176,958.0,9,8,32,6.84547761835606e+17
59294,-3.83896,138.791,1098.0,9,10,83,1.1259411385286656e+17
59344,-35.6252,163.153,1098.0,9,10,86,2.747198521475072e+17
59635,-109.49,64.8506,1098.0,9,10,99,7.34094504562262e+17
59928,-55.8905,-16.0663,1298.0,9,12,4,1.1709750732180685e+17
60795,55.4227,21.1475,1298.0,9,12,58,2.5220288480280576e+17
61372,-103.122,136.251,1298.0,9,12,92,6.755411123366789e+17
61421,-104.566,97.6006,1298.0,9,12,95,3.242615783523615e+17
61886,-38.301,-48.4246,1498.0,9,14,14,1.5313633738437427e+17
63228,-151.434,13.8335,1498.0,9,14,108,8.376768149554463e+17
